target_pnc,target_name,all-associations,count-per-association
Abschiebe-Seehofer,Horst Seehofer,flüchtlingspolitik,1
Abschiebe-Seehofer,Horst Seehofer,rechter populist,1
Abschiebe-Seehofer,Horst Seehofer,66. geburtstag 66 abschiebungen,1
Abschiebe-Seehofer,Horst Seehofer,politiker,1
Abschiebe-Seehofer,Horst Seehofer,geburtstag,1
Abschiebe-Seehofer,Horst Seehofer,populismus,1
Abschiebe-Seehofer,Horst Seehofer,rechts,1
Abschiebe-Seehofer,Horst Seehofer,abschiebung,1
Abschiebe-Seehofer,Horst Seehofer,innere sicherheit,1
Abschiebe-Seehofer,Horst Seehofer,minister,1
Abschiebe-Seehofer,Horst Seehofer,rechtsaußen,1
Abschiebe-Seehofer,Horst Seehofer,ehemaliger ministerpräsident bayern,1
Abschiebe-Seehofer,Horst Seehofer,war gegen asylpolitik,1
Abschiebe-Seehofer,Horst Seehofer,hat viele asylanten zwangsabgeschoben,1
AfD-Höcke,Björn Höcke,nazi,5
AfD-Höcke,Björn Höcke,rechtsextrem,4
AfD-Höcke,Björn Höcke,politiker,3
AfD-Höcke,Björn Höcke,rechts,2
AfD-Höcke,Björn Höcke,afd-mitglied,2
AfD-Höcke,Björn Höcke,rassistisch,1
AfD-Höcke,Björn Höcke,gefährlich,1
AfD-Höcke,Björn Höcke,hitler,1
AfD-Höcke,Björn Höcke,schandmal,1
AfD-Höcke,Björn Höcke,hohes parteimitglied,1
AfD-Höcke,Björn Höcke,rechtsextremer,1
AfD-Höcke,Björn Höcke,afd-kandidatur,1
AfD-Höcke,Björn Höcke,völkisch,1
AfD-Höcke,Björn Höcke,demokratiefeindlich,1
AfD-Höcke,Björn Höcke,rechter rand,1
AfD-Höcke,Björn Höcke,afd,1
AfD-Höcke,Björn Höcke,unsympatisch,1
AfD-Höcke,Björn Höcke,viel zu viel an nazi,1
AfD-Höcke,Björn Höcke,irgendwie daneben trotz studiums,1
AfD-Höcke,Björn Höcke,landtag,1
AfD-Höcke,Björn Höcke,thüringen,1
AfD-Höcke,Björn Höcke,kritikwürdige aussagen,1
AfD-Höcke,Björn Höcke,hetzer,1
AfD-Höcke,Björn Höcke,heißt eigentlich bernd,1
AfD-Höcke,Björn Höcke,populist,1
AfD-Höcke,Björn Höcke,rechts außen,1
AfD-Höcke,Björn Höcke,demokratiefeind,1
AfD-Höcke,Björn Höcke,bekannt,1
AfD-Höcke,Björn Höcke,stellvertretend,1
AfD-Höcke,Björn Höcke,mächtig,1
AfD-Höcke,Björn Höcke,parteivorsitzender,1
AfD-Höcke,Björn Höcke,seltsame ansichten,1
AfD-Höcke,Björn Höcke,fremdenhass,1
AfD-Höcke,Björn Höcke,pegida,1
AfD-Höcke,Björn Höcke,geschichtsverzehrung,1
AfD-Meuthen,Jörg Meuthen,rechts,3
AfD-Meuthen,Jörg Meuthen,politiker,2
AfD-Meuthen,Jörg Meuthen,rassistisch,1
AfD-Meuthen,Jörg Meuthen,gruselig,1
AfD-Meuthen,Jörg Meuthen,populismus,1
AfD-Meuthen,Jörg Meuthen,austritt,1
AfD-Meuthen,Jörg Meuthen,früherer afd-chef,1
AfD-Meuthen,Jörg Meuthen,medienwirksam,1
AfD-Meuthen,Jörg Meuthen,afd-gründer,1
AfD-Meuthen,Jörg Meuthen,partei verlassen,1
AfD-Meuthen,Jörg Meuthen,machtkampf,1
AfD-Meuthen,Jörg Meuthen,afd,1
AfD-Meuthen,Jörg Meuthen,menschenfeind,1
AfD-Meuthen,Jörg Meuthen,vorsitzender afd,1
AfD-Meuthen,Jörg Meuthen,einfacher typ,1
AfD-Meuthen,Jörg Meuthen,nichts auffallendes,1
AfD-Meuthen,Jörg Meuthen,nazi,1
AfD-Meuthen,Jörg Meuthen,verfassungsfeind,1
AfD-Meuthen,Jörg Meuthen,hochrangiges afd-mitglied,1
AfD-Meuthen,Jörg Meuthen,stellvertretend,1
AfD-Meuthen,Jörg Meuthen,bekannt,1
AfD-Meuthen,Jörg Meuthen,einflussreich,1
AfD-Meuthen,Jörg Meuthen,umstritten,1
AfD-Meuthen,Jörg Meuthen,ehemaliges afd-mitglied,1
AfD-Meuthen,Jörg Meuthen,parteilos,1
AfD-Meuthen,Jörg Meuthen,rechtsextrem,1
AfD-Meuthen,Jörg Meuthen,verfassungsschutz,1
AfD-Meuthen,Jörg Meuthen,sehr konserativ,1
AfD-Meuthen,Jörg Meuthen,auf dem rechten auge blind,1
AfD-Meuthen,Jörg Meuthen,entlassung,1
Affären-Scholz,Olaf Scholz,spd,5
Affären-Scholz,Olaf Scholz,bundeskanzler,3
Affären-Scholz,Olaf Scholz,kanzler,2
Affären-Scholz,Olaf Scholz,cum-ex affäre,1
Affären-Scholz,Olaf Scholz,vergesslichkeit,1
Affären-Scholz,Olaf Scholz,verbrecher,1
Affären-Scholz,Olaf Scholz,untreue,1
Affären-Scholz,Olaf Scholz,geheime liebe,1
Affären-Scholz,Olaf Scholz,economic crisis,1
Affären-Scholz,Olaf Scholz,inflation,1
Affären-Scholz,Olaf Scholz,cum-ex-affaire,1
Affären-Scholz,Olaf Scholz,wissenslücken,1
Affären-Scholz,Olaf Scholz,cumex,1
Affären-Scholz,Olaf Scholz,kein erinnerungsvermögen,1
Affären-Scholz,Olaf Scholz,hamburg oberbürgermeister,1
Affären-Scholz,Olaf Scholz,wirecard,1
Affären-Scholz,Olaf Scholz,brechmittel,1
Affären-Scholz,Olaf Scholz,warburg-bank,1
Affären-Scholz,Olaf Scholz,mögliche politische kontroversen,1
Affären-Scholz,Olaf Scholz,öffentliche wahrnehmung,1
Affären-Scholz,Olaf Scholz,diskussionen,1
Affären-Scholz,Olaf Scholz,politiker,1
Agenda-Schröder,Gerhard Schröder,agenda 2010,4
Agenda-Schröder,Gerhard Schröder,spd,4
Agenda-Schröder,Gerhard Schröder,hartz4,2
Agenda-Schröder,Gerhard Schröder,ex-bundeskanzler,2
Agenda-Schröder,Gerhard Schröder,wirtschaftspolitik,1
Agenda-Schröder,Gerhard Schröder,soziale auswirkungen,1
Agenda-Schröder,Gerhard Schröder,bundeskanzler,1
Agenda-Schröder,Gerhard Schröder,neoliberal,1
Agenda-Schröder,Gerhard Schröder,stolz auf niedriglöhne,1
Agenda-Schröder,Gerhard Schröder,reformen des arbeitsrechts,1
Agenda-Schröder,Gerhard Schröder,harz1 und harz2,1
Agenda-Schröder,Gerhard Schröder,früherer deutscher bundeskanzler,1
Agenda-Schröder,Gerhard Schröder,agenda der spd 2010,1
Agenda-Schröder,Gerhard Schröder,rede bundestag,1
Agenda-Schröder,Gerhard Schröder,deutschland modernisieren,1
Agenda-Schröder,Gerhard Schröder,hatte seine eigene politische agenda durchgesetzt,1
Agenda-Schröder,Gerhard Schröder,ex-kanzler,1
Agenda-Schröder,Gerhard Schröder,agenda 2000,1
Agenda-Schröder,Gerhard Schröder,gazprom,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,finanzpolitik,2
Aktenkoffer-Schäuble,Wolfgang Schäuble,gestorben,2
Aktenkoffer-Schäuble,Wolfgang Schäuble,cdu,2
Aktenkoffer-Schäuble,Wolfgang Schäuble,schwarzgeld,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,korruption,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,verbrecher,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,gefängnis,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,politiker,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,seriösität,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,langjährige politische erfahrung,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,bundestagspräsident,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,koffer-affäre,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,ehemaliger finanzminister,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,schwarze null,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,spendenaffäre,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,betrug,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,formell,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,seriös,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,langjähriger politiker,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,100000 mark,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,spende,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,afd,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,bundestag,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,nicht gemeldete parteispenden,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,parteispendenaffäre,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,aktenkoffer mit einer millionen d-mark,1
Aktien-Merz,Friedrich Merz,geschäftsmann,2
Aktien-Merz,Friedrich Merz,reich,2
Aktien-Merz,Friedrich Merz,cdu,2
Aktien-Merz,Friedrich Merz,möchtegern-kanzler,2
Aktien-Merz,Friedrich Merz,blackrock,2
Aktien-Merz,Friedrich Merz,unehrlich,1
Aktien-Merz,Friedrich Merz,cdu-politiker,1
Aktien-Merz,Friedrich Merz,hört sich selbst gern reden,1
Aktien-Merz,Friedrich Merz,er wirkt wirtschaftsnah,1
Aktien-Merz,Friedrich Merz,schlecht gelaunt,1
Aktien-Merz,Friedrich Merz,erfolgreich,1
Aktien-Merz,Friedrich Merz,populist,1
Aktien-Merz,Friedrich Merz,aktien,1
Aktien-Merz,Friedrich Merz,geld,1
Aktien-Merz,Friedrich Merz,reichtum,1
Aktien-Merz,Friedrich Merz,privatflugzeug,1
Aktien-Merz,Friedrich Merz,vorsitz,1
Aktien-Merz,Friedrich Merz,besitz von aktien und wertpapiere,1
Aktien-Merz,Friedrich Merz,setzt sich ein dass mehr deutsche bürger aktien kaufen sollen,1
Aktien-Merz,Friedrich Merz,zum teil auch rentensystem,1
Alleingang-Söder,Markus Söder,bayern,5
Alleingang-Söder,Markus Söder,politiker,2
Alleingang-Söder,Markus Söder,kompromisslos,1
Alleingang-Söder,Markus Söder,stur,1
Alleingang-Söder,Markus Söder,inkompetent,1
Alleingang-Söder,Markus Söder,dass der söder lieber mit bayern einen alleingang macht anstatt mit anderen bundesländern zusammenzuarbeiten,1
Alleingang-Söder,Markus Söder,cdu,1
Alleingang-Söder,Markus Söder,kreuz in der kirche,1
Alleingang-Söder,Markus Söder,sturkopf,1
Alleingang-Söder,Markus Söder,egoist,1
Alleingang-Söder,Markus Söder,eigenwillig.,1
Alleingang-Söder,Markus Söder,ministerpräsident,1
Alleingang-Söder,Markus Söder,aiwanger,1
Alleingang-Söder,Markus Söder,ego,1
Alleingang-Söder,Markus Söder,macho,1
Alleingang-Söder,Markus Söder,franke,1
Alleingang-Söder,Markus Söder,möchtegern-kanzler-kandidat,1
Alleingang-Söder,Markus Söder,umarmt bäume,1
Alleingang-Söder,Markus Söder,csu,1
Alleingang-Söder,Markus Söder,größenfantasien,1
Alleingang-Söder,Markus Söder,kanzlerambitionen,1
Alleingang-Söder,Markus Söder,was interessiert mich mein geschwätz von gestern?,1
Alleingang-Söder,Markus Söder,ministerpräsident von bayern,1
Alleingang-Söder,Markus Söder,kontroverse entscheidungen,1
Alleingang-Söder,Markus Söder,gegen migration,1
Alleingang-Söder,Markus Söder,für deutsche produkte,1
Alleingang-Söder,Markus Söder,minister,1
Alleingang-Söder,Markus Söder,atomkraftwerk,1
Amigo-Strauß,Franz Josef Strauß,csu,5
Amigo-Strauß,Franz Josef Strauß,korruption,3
Amigo-Strauß,Franz Josef Strauß,bayern,3
Amigo-Strauß,Franz Josef Strauß,ministerpräsident,2
Amigo-Strauß,Franz Josef Strauß,vetternwirtschaft,1
Amigo-Strauß,Franz Josef Strauß,machtmissbrauch,1
Amigo-Strauß,Franz Josef Strauß,netzwerk aus freunden,1
Amigo-Strauß,Franz Josef Strauß,betrug,1
Amigo-Strauß,Franz Josef Strauß,bestechung,1
Amigo-Strauß,Franz Josef Strauß,reaktionär,1
Amigo-Strauß,Franz Josef Strauß,amigo-affäre,1
Amigo-Strauß,Franz Josef Strauß,bestechlichkeit als ministerpräsident bayerns,1
Amigo-Strauß,Franz Josef Strauß,lobbyismus,1
Amigo-Strauß,Franz Josef Strauß,trauerspiel,1
Amigo-Strauß,Franz Josef Strauß,demokratiefeindlich,1
Amigo-Strauß,Franz Josef Strauß,verlogen,1
Amigo-Strauß,Franz Josef Strauß,früherer ministerpräsident bayern,1
Amigo-Strauß,Franz Josef Strauß,amigo-spendenaffäre,1
Amigo-Strauß,Franz Josef Strauß,ehemaliger bayrischer ministerpräsident,1
Amigo-Strauß,Franz Josef Strauß,volksheld in bayern,1
Amigo-Strauß,Franz Josef Strauß,ex-ministerpräsident,1
Amigo-Strauß,Franz Josef Strauß,milliardendeal mit ddr,1
Amigo-Strauß,Franz Josef Strauß,bayer,1
Ampel-Söder,Markus Söder,csu,2
Ampel-Söder,Markus Söder,wendehals,1
Ampel-Söder,Markus Söder,lügner,1
Ampel-Söder,Markus Söder,ändert ständig seine meinung,1
Ampel-Söder,Markus Söder,er arbeitet sich nur an der ampel ab,1
Ampel-Söder,Markus Söder,kontrahent zu berlin,1
Ampel-Söder,Markus Söder,populist,1
Ampel-Söder,Markus Söder,dagegen,1
Ampel-Söder,Markus Söder,neuwahlen,1
Ampel-Söder,Markus Söder,csu-vorsitz,1
Ampel-Söder,Markus Söder,kritisiert die ampelregierung,1
Ampel-Söder,Markus Söder,neuwahl,1
Ampel-Söder,Markus Söder,söder kritisiert nur die ampel obwohl die cdu/csu an vielen themen im lande schuld ist.,1
Ampel-Söder,Markus Söder,gegen die ampel,1
Ampel-Söder,Markus Söder,große kritik,1
Ampel-Söder,Markus Söder,bayern,1
Ampel-Söder,Markus Söder,schauen sie,1
Ampel-Söder,Markus Söder,überheblich,1
Ampel-Söder,Markus Söder,einmische,1
Ampel-Söder,Markus Söder,großmaul,1
Apartheid-Gabriel,Sigmar Gabriel,spd,3
Apartheid-Gabriel,Sigmar Gabriel,niedersachsen,2
Apartheid-Gabriel,Sigmar Gabriel,spd-politiker,1
Apartheid-Gabriel,Sigmar Gabriel,mittelmäßig,1
Apartheid-Gabriel,Sigmar Gabriel,rechts,1
Apartheid-Gabriel,Sigmar Gabriel,einwanderung,1
Apartheid-Gabriel,Sigmar Gabriel,flüchtlinge,1
Apartheid-Gabriel,Sigmar Gabriel,frei schnauze,1
Apartheid-Gabriel,Sigmar Gabriel,harz,1
Apartheid-Gabriel,Sigmar Gabriel,minister,1
Apartheid-Gabriel,Sigmar Gabriel,berater,1
Armani-Schröder,Gerhard Schröder,bundeskanzler,6
Armani-Schröder,Gerhard Schröder,spd,4
Armani-Schröder,Gerhard Schröder,gerd-show,1
Armani-Schröder,Gerhard Schröder,bierlied,1
Armani-Schröder,Gerhard Schröder,sozialdemokrat,1
Armani-Schröder,Gerhard Schröder,piekfeiner kanzler,1
Armani-Schröder,Gerhard Schröder,etwas abgehoben,1
Armani-Schröder,Gerhard Schröder,hat sich mit russland eingelassen,1
Armani-Schröder,Gerhard Schröder,teure anzüge,1
Armani-Schröder,Gerhard Schröder,reiches umfeld,1
Armani-Schröder,Gerhard Schröder,überheblichkeit,1
Armani-Schröder,Gerhard Schröder,reich,1
Armani-Schröder,Gerhard Schröder,luxus,1
Armani-Schröder,Gerhard Schröder,arrogant,1
Armani-Schröder,Gerhard Schröder,russland,1
Armani-Schröder,Gerhard Schröder,gazprom,1
Armani-Schröder,Gerhard Schröder,luxuskleidung,1
Armani-Schröder,Gerhard Schröder,haare färben,1
Armani-Schröder,Gerhard Schröder,doris,1
Armani-Schröder,Gerhard Schröder,politik,1
Armani-Schröder,Gerhard Schröder,designer-kleidung,1
Armani-Schröder,Gerhard Schröder,kaschmir-mantel,1
Armani-Schröder,Gerhard Schröder,armani-klamotten,1
Armani-Schröder,Gerhard Schröder,armani-uhren,1
Armani-Schröder,Gerhard Schröder,altkanzler,1
Armani-Schröder,Gerhard Schröder,putin,1
Armani-Schröder,Gerhard Schröder,politiker,1
Armani-Schröder,Gerhard Schröder,eingebildet,1
Armani-Schröder,Gerhard Schröder,alt,1
Armani-Schröder,Gerhard Schröder,altbundeskanzler,1
Armani-Schröder,Gerhard Schröder,agenda 2010,1
Armani-Schröder,Gerhard Schröder,irakkrieg,1
Armani-Schröder,Gerhard Schröder,medienhetze,1
Asyltourismus-Söder,Markus Söder,bayern,6
Asyltourismus-Söder,Markus Söder,politik,2
Asyltourismus-Söder,Markus Söder,grau,1
Asyltourismus-Söder,Markus Söder,cdu-politiker,1
Asyltourismus-Söder,Markus Söder,er macht manchmal politik gegen migranten,1
Asyltourismus-Söder,Markus Söder,rechts,1
Asyltourismus-Söder,Markus Söder,migration,1
Asyltourismus-Söder,Markus Söder,flüchtlinge,1
Asyltourismus-Söder,Markus Söder,aiwanger,1
Asyltourismus-Söder,Markus Söder,rechter populismus,1
Asyltourismus-Söder,Markus Söder,franken,1
Asyltourismus-Söder,Markus Söder,stammtisch,1
Asyltourismus-Söder,Markus Söder,sprüche,1
Asyltourismus-Söder,Markus Söder,csu,1
Asyltourismus-Söder,Markus Söder,ministepräsident,1
Asyltourismus-Söder,Markus Söder,wiesn,1
Asyltourismus-Söder,Markus Söder,möchtegern-kanzler,1
Asyltourismus-Söder,Markus Söder,großes aufkommen von asylsuchenden 2020 und 2021,1
Asyltourismus-Söder,Markus Söder,öffnung der grenzen,1
Asyltourismus-Söder,Markus Söder,oft ohne politische verfolgung,1
Asyltourismus-Söder,Markus Söder,viele länder dabei die zu sicheren herkunftsländern gelten,1
Asyltourismus-Söder,Markus Söder,ablehnung von söder,1
Asyltourismus-Söder,Markus Söder,minister,1
Asyltourismus-Söder,Markus Söder,balkanroute,1
Atom-Greta,Greta Thunberg,umwelt,3
Atom-Greta,Greta Thunberg,klimawandel,2
Atom-Greta,Greta Thunberg,klima,2
Atom-Greta,Greta Thunberg,aktivistin,2
Atom-Greta,Greta Thunberg,verschwörung,1
Atom-Greta,Greta Thunberg,nachhaltigkeit,1
Atom-Greta,Greta Thunberg,protest,1
Atom-Greta,Greta Thunberg,stark,1
Atom-Greta,Greta Thunberg,kräftig,1
Atom-Greta,Greta Thunberg,klimaaktivistin,1
Atom-Greta,Greta Thunberg,fridaysforfuture,1
Atom-Greta,Greta Thunberg,pro atomkraft,1
Atom-Greta,Greta Thunberg,natur,1
Atom-Greta,Greta Thunberg,kämpferin,1
Atom-Greta,Greta Thunberg,aggressiv,1
Atom-Greta,Greta Thunberg,klimaschutz,1
Atom-Greta,Greta Thunberg,jung,1
Atom-Greta,Greta Thunberg,radikale ansichten,1
Atom-Greta,Greta Thunberg,vorbild für jugendliche,1
Atom-Greta,Greta Thunberg,fridays for future,1
Atom-Greta,Greta Thunberg,grün,1
Atom-Greta,Greta Thunberg,pro palästina,1
Atom-Greta,Greta Thunberg,kohle versus nuklear,1
Atom-Greta,Greta Thunberg,atomkraft-support,1
Atom-Greta,Greta Thunberg,klimaaktivist,1
Atom-Greta,Greta Thunberg,abschaltung atomkraftwerke,1
Atom-Greta,Greta Thunberg,umweltaktivistin,1
Atom-Greta,Greta Thunberg,meinung zu spitznamen-vergabe,1
Atom-Greta,Greta Thunberg,bezug zur atomenergie,1
Atom-Greta,Greta Thunberg,relevante umweltthemen,1
Atom-Greta,Greta Thunberg,junge aktivistin,1
Atom-Greta,Greta Thunberg,demo,1
Atom-Greta,Greta Thunberg,klima-aktivisten,1
Atom-Greta,Greta Thunberg,atomkraftwerke nicht abschalten,1
Atom-Merkel,Angela Merkel,cdu,4
Atom-Merkel,Angela Merkel,fukushima,4
Atom-Merkel,Angela Merkel,bundeskanzlerin,3
Atom-Merkel,Angela Merkel,kanzlerin,3
Atom-Merkel,Angela Merkel,energiewende,2
Atom-Merkel,Angela Merkel,deutschland,2
Atom-Merkel,Angela Merkel,frau,2
Atom-Merkel,Angela Merkel,atomausstieg,2
Atom-Merkel,Angela Merkel,umweltpolitik,1
Atom-Merkel,Angela Merkel,kernkraftabschaltung,1
Atom-Merkel,Angela Merkel,einer der ersten atomausstiege in europa,1
Atom-Merkel,Angela Merkel,putin-nah,1
Atom-Merkel,Angela Merkel,undurchdacht,1
Atom-Merkel,Angela Merkel,aktionismus,1
Atom-Merkel,Angela Merkel,abgetreten,1
Atom-Merkel,Angela Merkel,hat atomausstieg vorangebracht,1
Atom-Merkel,Angela Merkel,mehr förderung der kohlekraftwerke als atomkraftwerke,1
Atom-Merkel,Angela Merkel,deutschlands komplette abwendung von der atomenergie,1
Atom-Merkel,Angela Merkel,subventionierung von erneuerbaren energien,1
Atom-Merkel,Angela Merkel,neoliberal,1
Atom-Merkel,Angela Merkel,hausfrau,1
Atom-Merkel,Angela Merkel,atomaustieg,1
Atom-Merkel,Angela Merkel,raute,1
Atom-Merkel,Angela Merkel,freundin putins,1
Atom-Merkel,Angela Merkel,grüne energie,1
Atom-Merkel,Angela Merkel,politische voreiligkeit,1
Atom-Merkel,Angela Merkel,atomausstieg nach fukushima-katastrophe,1
Atom-Merkel,Angela Merkel,deutsche kanzlerin,1
Atom-Merkel,Angela Merkel,verantwortlich für deutschen atomausstieg,1
Atom-Merkel,Angela Merkel,ehemalige kanzlerin,1
Atom-Merkel,Angela Merkel,atom-ausstieg,1
Atom-Merkel,Angela Merkel,ex-bundeskanlerin,1
Atom-Merkel,Angela Merkel,ex-cdu_vorsitzende,1
Atom-Merkel,Angela Merkel,kommt aus ostdeutschland,1
Atom-Merkel,Angela Merkel,mutti,1
Atom-Merkel,Angela Merkel,das schaffen wir,1
Atom-Merkel,Angela Merkel,kohlekraftwerke,1
Atom-Merkel,Angela Merkel,atomstrom,1
Atom-Putin,Vladimir Putin,russland,6
Atom-Putin,Vladimir Putin,präsident,4
Atom-Putin,Vladimir Putin,krieg,3
Atom-Putin,Vladimir Putin,diktator,2
Atom-Putin,Vladimir Putin,atombomben,2
Atom-Putin,Vladimir Putin,diktatur,2
Atom-Putin,Vladimir Putin,unberechenbar,2
Atom-Putin,Vladimir Putin,drohungen,2
Atom-Putin,Vladimir Putin,ukrainekrieg,2
Atom-Putin,Vladimir Putin,bedrohung,1
Atom-Putin,Vladimir Putin,gefährlich,1
Atom-Putin,Vladimir Putin,böse,1
Atom-Putin,Vladimir Putin,droht mit atom-krieg,1
Atom-Putin,Vladimir Putin,ukraine,1
Atom-Putin,Vladimir Putin,krim,1
Atom-Putin,Vladimir Putin,russland atommacht,1
Atom-Putin,Vladimir Putin,invasion der ukraine,1
Atom-Putin,Vladimir Putin,langstreckenraketen,1
Atom-Putin,Vladimir Putin,autokrat,1
Atom-Putin,Vladimir Putin,kriegsverbrecher,1
Atom-Putin,Vladimir Putin,drohte mit atom-bombe,1
Atom-Putin,Vladimir Putin,konservativ,1
Atom-Putin,Vladimir Putin,tot,1
Atom-Putin,Vladimir Putin,eine nuklear-schlag-drohung nach der anderen,1
Atom-Putin,Vladimir Putin,aufrüstung,1
Atom-Putin,Vladimir Putin,größenwahnsinniger autokrat,1
Atom-Putin,Vladimir Putin,uran aus russland,1
Atom-Putin,Vladimir Putin,drohung mit nuklearschlag,1
Atom-Putin,Vladimir Putin,aufrüstung nuklearer waffen in russland,1
Atom-Putin,Vladimir Putin,atomwaffen,1
Atom-Putin,Vladimir Putin,konflikt,1
Atom-Putin,Vladimir Putin,gefahr,1
Atom-Putin,Vladimir Putin,atomdrohungen,1
Atom-Putin,Vladimir Putin,ukraine-krieg,1
Atom-Putin,Vladimir Putin,kapitalistisches russland,1
Atom-Putin,Vladimir Putin,oligarchen,1
Atom-Putin,Vladimir Putin,konflikt mit westen,1
Audi-Andi,Andreas Scheuer,lobbyismus,2
Audi-Andi,Andreas Scheuer,politiker,2
Audi-Andi,Andreas Scheuer,verkehrsminister,2
Audi-Andi,Andreas Scheuer,automobilindustrie,2
Audi-Andi,Andreas Scheuer,csu,2
Audi-Andi,Andreas Scheuer,autobahnmaut,1
Audi-Andi,Andreas Scheuer,geldverschwendung,1
Audi-Andi,Andreas Scheuer,korruption,1
Audi-Andi,Andreas Scheuer,verbrecher,1
Audi-Andi,Andreas Scheuer,kontrovers,1
Audi-Andi,Andreas Scheuer,eitelkeit,1
Audi-Andi,Andreas Scheuer,ignorant,1
Audi-Andi,Andreas Scheuer,maut,1
Audi-Andi,Andreas Scheuer,muss ins gefängnis,1
Audi-Andi,Andreas Scheuer,verschleuderte milliarden steuergelder,1
Audi-Andi,Andreas Scheuer,schleimig,1
Audi-Andi,Andreas Scheuer,informell,1
Audi-Andi,Andreas Scheuer,humorvoll,1
Audi-Andi,Andreas Scheuer,kontroversen,1
Aufschrei-Brüderle,Rainer Brüderle,#aufschrei,1
Aufschrei-Brüderle,Rainer Brüderle,sexismus,1
Aufschrei-Brüderle,Rainer Brüderle,laura himmelreich,1
Aufschrei-Brüderle,Rainer Brüderle,mögliche verbindung zu öffentlichen kontroversen,1
Aufschrei-Brüderle,Rainer Brüderle,politische diskussionen,1
Aufschrei-Brüderle,Rainer Brüderle,öffentliche wahrnehmung,1
Augustus-Amthor,Philipp Amthor,cdu,2
Augustus-Amthor,Philipp Amthor,ein 2. vorname,1
Augustus-Amthor,Philipp Amthor,die sicherheitsfirma von der er sich mal hat anwerben lassen,1
Augustus-Amthor,Philipp Amthor,aktien,1
Augustus-Amthor,Philipp Amthor,korruption,1
Augustus-Amthor,Philipp Amthor,einflussnahme,1
