target_pnc;target_name;first-association;count-per-first-association;all-associations;count-per-association;total-count-associations;perception;perception-median;perception-avg;age;percentage-known;cleaned-first;cleaned-associations;annotator_count;all_ages;origin
Bätschi-Nahles;Andrea Nahles;['politik', 'pippi-langstrumpf', 'politische persönlichkeit'];[1, 1, 1];['politik', 'schlagfertig', 'bätschi-moment', 'pippi-langstrumpf', 'bundestagsrede', 'bundesagentur für arbeit', 'politische persönlichkeit', 'spd', 'kontroverse aussagen'];[1, 1, 1, 1, 1, 1, 1, 1, 1];9;[2.0, 3.0, 2.0];2;2.333333333;['30-39', '60-69', '30-39'];20;['politik', 'pippi-langstrumpf', 'politische persönlichkeit'];[['politik', 'schlagfertig', 'bätschi-moment'], ['pippi-langstrumpf', 'bundestagsrede', 'bundesagentur für arbeit'], ['politische persönlichkeit', 'spd', 'kontroverse aussagen']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
CDU-Laschet;Armin Laschet;['kanzlerkandidat', 'politiker', 'nrw', 'fast bundeskanzler', 'cdu', 'ist ministerpräsident', 'nordrhein-westfalen', 'kanzlerkanditat', 'blaß'];[3, 3, 1, 1, 1, 1, 1, 1, 1];['kanzlerkandidat', 'politiker', 'nrw', 'ministerpräsident', 'cdu', 'cdu-mitglied', 'bundestagsabgeordneter cdu', 'früherer ministerpräsident nrw', 'fast bundeskanzler', 'verlierer', 'konservativ', 'flutkatastrophe', 'scheitern', 'lacht über flut', 'inkompetent', 'ist ministerpräsident', 'prollig', 'typ von nebenan', 'union', 'schleimig', 'lügen', 'nordrhein-westfalen', 'korruption', 'kanzlerkanditat', 'cdu-vorsitzender', 'köln', 'lachen bei flutkatastrophe', 'bekannt', 'stellvertretend', 'spitzenkandidat', 'bundestagswahl', 'inkompetenz', 'blaß', 'unerfolgreich', 'wahl-niederlage'];[5, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];35;[4.0, 3.0, 3.0, 3.0, 5.0, 2.0, 5.0, 3.0, 4.0, 5.0, 3.0, 3.0, 5.0];3;3.692307692;['60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];86.66666667;['nrw', 'kanzlerkandidat', 'fast bundeskanzler', 'kanzlerkandidat', 'cdu', 'ist ministerpräsident', 'politiker', 'nordrhein-westfalen', 'kanzlerkanditat', 'politiker', 'politiker', 'kanzlerkandidat', 'blaß'];[['nrw', 'ministerpräsident', 'kanzlerkandidat'], ['kanzlerkandidat', 'bundestagsabgeordneter cdu', 'früherer ministerpräsident nrw'], ['fast bundeskanzler', 'verlierer', 'konservativ'], ['kanzlerkandidat', 'flutkatastrophe', 'scheitern'], ['cdu', 'lacht über flut', 'inkompetent'], ['ist ministerpräsident', 'prollig', 'typ von nebenan'], ['politiker', 'union', 'kanzlerkandidat', 'schleimig', 'lügen'], ['nordrhein-westfalen', 'cdu-mitglied', 'ministerpräsident', 'korruption'], ['kanzlerkanditat', 'cdu-vorsitzender', 'köln', 'lachen bei flutkatastrophe'], ['politiker', 'cdu', 'bekannt', 'stellvertretend'], ['politiker', 'spitzenkandidat', 'bundestagswahl'], ['kanzlerkandidat', 'cdu-mitglied', 'inkompetenz'], ['blaß', 'unerfolgreich', 'nrw', 'wahl-niederlage']];15;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];prolific
CDU-Scholz;Olaf Scholz;['spd', 'konservativer politischer kurs', 'nordisch', 'bundeskanzler', 'olaf schäuble', 'deutscher bundeskanzler', 'deutscher kanzler', 'nicht-anwesender bundeskanzler'];[2, 1, 1, 1, 1, 1, 1, 1];['spd', 'bundeskanzler', 'still', 'konservativer politischer kurs', 'pragmatisch', 'wirtschaftspolitik', 'kritik', 'nordisch', 'keine führungskraft', 'schlechtes gedächtnis', 'nähert sich mit seinen aussagen der cdu an', 'cum-ex-skandal', 'zögerlich', 'olaf schäuble', 'hamburg', 'cum-ex', 'korrupt', 'leise', 'grinsen', 'deutscher bundeskanzler', 'gleiche politik wie cdu', 'deutscher kanzler', 'spd-mitglied', 'ehemaliger hamburger bürgermeister', 'cum-ex-affäre', 'nicht-anwesender bundeskanzler', 'kritik nach abhörskandal in der luftwaffe'];[6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];27;[3.0, 3.0, 1.0, 5.0, 3.0, 3.0, 3.0, 4.0, 4.0];3;3.222222222;['30-39', '40-49', '40-49', '40-49', '30-39', '50-59', '30-39', '50-59', '30-39'];60;['konservativer politischer kurs', 'nordisch', 'bundeskanzler', 'olaf schäuble', 'spd', 'deutscher bundeskanzler', 'deutscher kanzler', 'spd', 'nicht-anwesender bundeskanzler'];[['konservativer politischer kurs', 'pragmatisch', 'wirtschaftspolitik', 'kritik'], ['nordisch', 'still', 'keine führungskraft', 'schlechtes gedächtnis'], ['bundeskanzler', 'spd', 'nähert sich mit seinen aussagen der cdu an', 'cum-ex-skandal', 'zögerlich'], ['olaf schäuble', 'spd', 'hamburg', 'cum-ex', 'korrupt'], ['spd', 'bundeskanzler', 'still', 'leise', 'grinsen'], ['deutscher bundeskanzler', 'spd', 'gleiche politik wie cdu'], ['deutscher kanzler', 'spd-mitglied', 'ehemaliger hamburger bürgermeister'], ['spd', 'bundeskanzler', 'cum-ex-affäre'], ['nicht-anwesender bundeskanzler', 'spd', 'kritik nach abhörskandal in der luftwaffe']];15;['30-39', '40-49', '40-49', '30-39', '40-49', '40-49', '30-39', '30-39', '50-59', '30-39', '60-69', '50-59', '30-39', '20-29', '30-39'];prolific
Change-Obama;Barack Obama;"['aufregend', 'veränderung', 'yes we can', 'zitat', 'politischer wandel', 'politiker', 'reformen', 'wahlkampfmotto ""change we can believe in""', 'be the change']";[1, 1, 1, 1, 1, 1, 1, 1, 1];"['präsident', 'hoffnung', 'yes we can', 'aufregend', 'zukunftsorientiert', 'veränderung', 'us-präsident', 'wahlkampf', 'friedensnobelpreis', 'democrats', 'zitat', 'change!-biografie', 'politischer wandel', 'amerikanische präsidentschaft', 'historische bedeutung', 'politiker', 'neue gedanken', 'reformen', 'krankenversicherungen', 'soziale gerechtigkeit', 'wahlkampfmotto ""change we can believe in""', 'symbol für hoffnung und wandel', 'verkörperung des versprechens auf einen neuanfang', 'politische kampagne für progressive veränderungen', 'erste afroamerikanische präsidentschaftskandidatur in den usa', 'be the change']";[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];26;[1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 2.0, 3.0, 5.0];2;2;['20-29', '30-39', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];60;"['aufregend', 'veränderung', 'yes we can', 'zitat', 'politischer wandel', 'politiker', 'reformen', 'wahlkampfmotto ""change we can believe in""', 'be the change']";"[['aufregend', 'zukunftsorientiert'], ['veränderung', 'präsident', 'hoffnung'], ['yes we can', 'us-präsident', 'wahlkampf', 'friedensnobelpreis', 'democrats'], ['zitat', 'yes we can', 'change!-biografie'], ['politischer wandel', 'hoffnung', 'amerikanische präsidentschaft', 'historische bedeutung'], ['politiker', 'präsident', 'neue gedanken'], ['reformen', 'krankenversicherungen', 'soziale gerechtigkeit'], ['wahlkampfmotto ""change we can believe in""', 'symbol für hoffnung und wandel', 'verkörperung des versprechens auf einen neuanfang', 'politische kampagne für progressive veränderungen', 'erste afroamerikanische präsidentschaftskandidatur in den usa'], ['be the change']]";15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Crush-Ramelow;Bodo Ramelow;['er spielte mal candy crush im landtag', 'candy crush', 'handyspiele', 'bundeswehr', 'ministerpräsident thüringen'];[1, 1, 1, 1, 1];['er spielte mal candy crush im landtag', 'linke', 'gelangweilter typ', 'candy crush', 'twitter', 'rekord', 'handyspiele', 'süchtig', 'peinlich', 'bundeswehr', 'berlin', 'neukölln', 'ministerpräsident thüringen', 'ist ein tile-matching-spiel eine erlaubte entspannungsübung für seriöse menschen bei mehr oder minder wichtigen besprechungen'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];14;[2.0, 3.0, 3.0, 3.0, 1.0];3;2.4;['20-29', '30-39', '20-29', '40-49', '60-69'];31.25;['er spielte mal candy crush im landtag', 'candy crush', 'handyspiele', 'bundeswehr', 'ministerpräsident thüringen'];[['er spielte mal candy crush im landtag', 'linke', 'gelangweilter typ'], ['candy crush', 'twitter', 'rekord'], ['handyspiele', 'süchtig', 'peinlich'], ['bundeswehr', 'berlin', 'neukölln'], ['ministerpräsident thüringen', 'ist ein tile-matching-spiel eine erlaubte entspannungsübung für seriöse menschen bei mehr oder minder wichtigen besprechungen']];16;['30-39', '30-39', '20-29', '50-59', '30-39', '20-29', '30-39', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '40-49', '30-39', '60-69'];prolific
Dahlem-Spahn;Jens Spahn;['reich', 'wohnort', 'immobilienaffäre', 'cdu', 'umzug', 'viertel'];[1, 1, 1, 1, 1, 1];['cdu', 'reich', 'korruption', 'wohnort', 'politik', 'verbindung zu wohlhabenden vierteln', 'immobilienaffäre', 'corona', 'ehemaliger gesundheitsminister', 'covid', 'masken', 'maßnahmen', 'umzug', 'verkauf von villa', 'millionenverkauf', 'viertel', 'assoziation', 'politisch'];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];18;[4.0, 1.0, 3.0, 4.0, 2.0, 3.0];3;2.833333333;['20-29', '30-39', '60-69', '30-39', '20-29', '30-39'];40;['reich', 'wohnort', 'immobilienaffäre', 'cdu', 'umzug', 'viertel'];[['reich', 'korruption'], ['wohnort', 'politik', 'verbindung zu wohlhabenden vierteln'], ['immobilienaffäre', 'cdu', 'corona'], ['cdu', 'ehemaliger gesundheitsminister', 'covid', 'masken', 'maßnahmen'], ['umzug', 'verkauf von villa', 'millionenverkauf'], ['viertel', 'assoziation', 'politisch']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Demenz-Scholz;Olaf Scholz;['bundeskanzler', 'vergesslich', 'vergesslichkeit', 'interview-scheu', 'cum-ex-affäre', 'spd', 'steuerhinterziehung', 'wirecard', 'kanzler'];[4, 2, 2, 1, 1, 1, 1, 1, 1];['bundeskanzler', 'wirecard', 'vergesslich', 'vergesslichkeit', 'skandal', 'kanzler', 'cum-ex-affäre', 'korrupt', 'steuerhinterziehung', 'untersuchungsausschuss', 'interview-scheu', 'kann sich nicht mehr erinnern', 'dubiose bankgeschäfte', 'alt', 'hamburg', 'erster bürgermeister', 'erinnerungslücken', 'spd', 'cum-ex', 'brechmittel', 'olaf schäuble', 'etwas langsamer typ', 'nicht allzu wortgewandt', 'erinnert sich nicht an betrug', 'peinlich', 'selektives vergessen', 'illegal', 'wirecard-skandal', 'ehemaliger bürgermeister hamburgs', 'veruntreuung', 'geheime treffen', 'lügen', 'interviews', 'vertuschung', 'bürgermeister'];[8, 4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];35;[4, 3, 4, 2, 2, 5, 2, 3, 5, 2, 2, 5, 4, 4];3.5;3.357142857;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29'];93.33333333;['vergesslich', 'vergesslichkeit', 'interview-scheu', 'vergesslich', 'cum-ex-affäre', 'spd', 'bundeskanzler', 'bundeskanzler', 'steuerhinterziehung', 'bundeskanzler', 'wirecard', 'bundeskanzler', 'vergesslichkeit', 'kanzler'];[['vergesslich', 'wirecard', 'untersuchungsausschuss'], ['vergesslichkeit', 'wirecard', 'skandal', 'kanzler'], ['interview-scheu', 'kann sich nicht mehr erinnern', 'dubiose bankgeschäfte'], ['vergesslich', 'bundeskanzler', 'alt'], ['cum-ex-affäre', 'hamburg', 'erster bürgermeister', 'erinnerungslücken'], ['spd', 'bundeskanzler', 'cum-ex', 'korrupt', 'brechmittel', 'olaf schäuble'], ['bundeskanzler', 'etwas langsamer typ', 'nicht allzu wortgewandt'], ['bundeskanzler', 'cum-ex-affäre', 'erinnert sich nicht an betrug', 'peinlich'], ['steuerhinterziehung', 'bundeskanzler', 'selektives vergessen', 'illegal'], ['bundeskanzler', 'wirecard-skandal', 'steuerhinterziehung', 'ehemaliger bürgermeister hamburgs'], ['wirecard', 'veruntreuung', 'geheime treffen'], ['bundeskanzler', 'vergesslich', 'lügen', 'korrupt', 'skandal'], ['vergesslichkeit', 'interviews', 'bundeskanzler'], ['kanzler', 'wirecard', 'vertuschung', 'bürgermeister']];15;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];prolific
Diesel-Dobrindt;Alexander Dobrindt;['verkehrsminister', 'steuern', 'skandal', 'ehemaliger bundesverkehrsminister'];[1, 1, 1, 1];['verkehrsminister', 'hat digitalisierung und elektrifizierung geblockt', 'steuern', 'cdu', 'skandal', 'probleme', 'ehemaliger bundesverkehrsminister', 'kontroverse einstellung zu dieselmotoren', 'allgemein nicht sehr kompetent'];[2, 1, 1, 1, 1, 1, 1, 1, 1];9;[4.0, 3.0, 4.0, 3.0];3.5;3.5;['20-29', '30-39', '20-29', '60-69'];25;['verkehrsminister', 'steuern', 'skandal', 'ehemaliger bundesverkehrsminister'];[['verkehrsminister', 'hat digitalisierung und elektrifizierung geblockt'], ['steuern', 'verkehrsminister', 'cdu'], ['skandal', 'probleme'], ['ehemaliger bundesverkehrsminister', 'kontroverse einstellung zu dieselmotoren', 'allgemein nicht sehr kompetent']];16;['30-39', '30-39', '20-29', '50-59', '30-39', '20-29', '30-39', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '40-49', '30-39', '60-69'];prolific
Diesel-Scheuer;Andreas Scheuer;['lobbyismus', 'kurzsichtig', 'verkehrsminister', 'csu', 'verkehrminister', 'kritisch', 'fahrverbote'];[1, 1, 1, 1, 1, 1, 1];['csu', 'verkehrsminister', 'dieselaffäre', 'lobbyismus', 'politik', 'kurzsichtig', 'kritik', 'maut', 'verschleuderte steuergelder', 'muss ins gefängnis', 'verkehrminister', 'skandal', 'diesel-nachrüstung', 'umweltschutz', 'kritisch', 'öffentliche kontroversen', 'fahrverbote', 'hardware-nachrüstung'];[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];18;[5.0, 4.0, 2.0, 5.0, 3.0, 4.0, 3.0];4;3.714285714;['30-39', '20-29', '30-39', '30-39', '20-29', '30-39', '20-29'];46.66666667;['lobbyismus', 'kurzsichtig', 'verkehrsminister', 'csu', 'verkehrminister', 'kritisch', 'fahrverbote'];[['lobbyismus', 'politik', 'csu'], ['kurzsichtig'], ['verkehrsminister', 'dieselaffäre', 'kritik'], ['csu', 'maut', 'verschleuderte steuergelder', 'muss ins gefängnis'], ['verkehrminister', 'skandal', 'diesel-nachrüstung', 'umweltschutz'], ['kritisch', 'verkehrsminister', 'dieselaffäre', 'öffentliche kontroversen'], ['fahrverbote', 'hardware-nachrüstung']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Dinner-Spahn;Jens Spahn;['cdu', 'isst viel', 'cdu-politiker', 'er geht gerne essen', 'bestechlich', 'haufen kohle', 'corona', 'ehemaliger gesundheitsminister'];[2, 1, 1, 1, 1, 1, 1, 1];['gesundheitsminister', 'cdu', 'isst viel', 'kann gut kochen', 'cdu-politiker', 'schwul', 'ambitioniert', 'er geht gerne essen', 'es gab sogar einen skandal während corona in einem restaurant', 'bestechlich', 'lobbyist', 'egoistisch', 'immobilien', 'haufen kohle', 'corona', 'verzeihen', 'pandemie-gewinner', 'maskendeal', 'ehemaliger gesundheitsminister', 'nach teurem dinner große spendeneinnahmen', 'illegal'];[4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];21;[5.0, 2.0, 3.0, 3.0, 4.0, 4.0, 1.0, 4.0, 4.0];4;3.333333333;['30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '50-59', '60-69', '70+'];60;['isst viel', 'cdu-politiker', 'er geht gerne essen', 'bestechlich', 'cdu', 'haufen kohle', 'corona', 'cdu', 'ehemaliger gesundheitsminister'];[['isst viel', 'kann gut kochen'], ['cdu-politiker', 'gesundheitsminister', 'schwul', 'ambitioniert'], ['er geht gerne essen', 'es gab sogar einen skandal während corona in einem restaurant'], ['bestechlich', 'lobbyist', 'egoistisch', 'gesundheitsminister'], ['cdu', 'gesundheitsminister', 'immobilien'], ['haufen kohle'], ['corona', 'verzeihen'], ['cdu', 'gesundheitsminister', 'pandemie-gewinner', 'maskendeal'], ['ehemaliger gesundheitsminister', 'nach teurem dinner große spendeneinnahmen', 'illegal']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
Dirndl-Brüderle;Rainer Brüderle;['chauvinist', 'brüste', 'fdp', 'ehemaliger landwirtschaftsminister'];[1, 1, 1, 1];['fdp', 'chauvinist', 'belästigung', 'mann', 'brüste', 'bier', 'dirndl', 'oberweite', 'bundestag', 'sexismus', 'grapscher', 'ehemaliger landwirtschaftsminister', 'sexismusvorwürfe wegen dirndl'];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];13;[4.0, 2.0, 3.0, 4.0];3.5;3.25;['30-39', '50-59', '60-69', '70+'];26.66666667;['chauvinist', 'brüste', 'fdp', 'ehemaliger landwirtschaftsminister'];[['chauvinist', 'belästigung', 'mann'], ['brüste', 'bier', 'dirndl', 'oberweite'], ['fdp', 'bundestag', 'sexismus', 'grapscher'], ['ehemaliger landwirtschaftsminister', 'fdp', 'sexismusvorwürfe wegen dirndl']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
Doktor-Giffey;Franziska Giffey;['berlin', 'cdu-politikerin', 'plagiate', 'plagiat', 'neukölln', 'ehemalige oberbürgermeisterin von berlin'];[2, 1, 1, 1, 1, 1];['berlin', 'plagiat', 'cdu-politikerin', 'es wurde ihre doktorarbeit geprüft auf plagiat gab aber keine gravierenden probleme', 'plagiate', 'keinen doktor mehr', 'oft posten gewechselt', 'doktorarbeit', 'ministerin', 'neukölln', 'spd', 'piepsstimme', 'ehemalige oberbürgermeisterin von berlin', 'plagiat doktorarbeit', 'aberkannt'];[3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];15;[1.0, 3.0, 1.0, 2.0, 1.0, 3.0, 3.0];2;2;['30-39', '40-49', '50-59', '40-49', '50-59', '60-69', '70+'];46.66666667;['cdu-politikerin', 'plagiate', 'plagiat', 'berlin', 'neukölln', 'berlin', 'ehemalige oberbürgermeisterin von berlin'];[['cdu-politikerin', 'es wurde ihre doktorarbeit geprüft auf plagiat gab aber keine gravierenden probleme'], ['plagiate', 'keinen doktor mehr', 'oft posten gewechselt'], ['plagiat', 'doktorarbeit', 'berlin'], ['berlin', 'plagiat', 'ministerin'], ['neukölln'], ['berlin', 'spd', 'piepsstimme'], ['ehemalige oberbürgermeisterin von berlin', 'plagiat doktorarbeit', 'aberkannt']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
Dosen-Trittin;Jürgen Trittin;['hat etwas mit dem dosenpfand zu tun', 'politiker?', 'grüne', 'dosenpfand', 'die grünen', 'grüne partei'];[1, 1, 1, 1, 1, 1];['bundestag', 'hat etwas mit dem dosenpfand zu tun', 'politiker?', 'grüne', 'kontrovers', 'dosenpfand', 'ideologie', 'göttingen', 'kernkraft', 'die grünen', 'bremen', 'vernunft', 'grüne partei', 'umweltminister', 'einführung des dosenpfand'];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];15;[5.0, 3.0, 2.0, 4.0, 1.0, 1.0];2.5;2.666666667;['30-39', '30-39', '40-49', '50-59', '60-69', '70+'];40;['hat etwas mit dem dosenpfand zu tun', 'politiker?', 'grüne', 'dosenpfand', 'die grünen', 'grüne partei'];[['hat etwas mit dem dosenpfand zu tun'], ['politiker?'], ['grüne', 'bundestag', 'kontrovers'], ['dosenpfand', 'ideologie', 'göttingen', 'kernkraft'], ['die grünen', 'bundestag', 'bremen', 'vernunft'], ['grüne partei', 'umweltminister', 'einführung des dosenpfand']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
Drogen-Beck;Volker Beck;['politiker', 'mögliche verbindung zu drogenpolitik'];[2, 1];['politiker', 'menschenrechtsaktivist', 'parteimitglied', 'mögliche verbindung zu drogenpolitik', 'kontroverse öffentliche wahrnehmung', 'politische diskussionen', 'grünen', 'skandal', 'rehabilitation'];[2, 1, 1, 1, 1, 1, 1, 1, 1];9;[3.0, 2.0, 4.0];3;3;['30-39', '30-39', '40-49'];20;['politiker', 'mögliche verbindung zu drogenpolitik', 'politiker'];[['politiker', 'menschenrechtsaktivist', 'parteimitglied'], ['mögliche verbindung zu drogenpolitik', 'kontroverse öffentliche wahrnehmung', 'politische diskussionen'], ['politiker', 'grünen', 'skandal', 'rehabilitation']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Drohnenkrieg-Obama;Barack Obama;['ex-us-präsident', 'usa', 'politik', 'führt kriege', 'dass in den kriegen viele mit drohnen gekämpft wurden', 'demokratischer präsident der usa vor trump', 'hat bin laden erschießen lassen', 'präsident', 'irak', 'bin laden', 'ehemaiger präsident von usa'];[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1];['präsident', 'schwarz', 'ex-us-präsident', 'usa', 'politik', 'amerika', 'führt kriege', 'beführworter von drohnen', 'dass in den kriegen viele mit drohnen gekämpft wurden', 'demokratischer präsident der usa vor trump', 'charismatisch', 'hat gesundheitsreform eingeführt', 'hat bin laden erschießen lassen', 'stolz', 'menschlich', 'irak', 'afghanistan', 'krieg', 'bin laden', 'musik', 'kultur', 'demokrat', 'weißes haus', 'ehemaiger präsident von usa', 'die meisten drohnenangriffe auch an us-bürgern', 'einsatz unbemannter drohnen zur kriegsführung', 'terroristen'];[4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];27;[0.0, 3.0, 3.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 2.0];1;1.153846154;['20-29', '30-39', '30-39', '30-39', '40-49', '40-49', '30-39', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];86.66666667;['politik', 'führt kriege', 'dass in den kriegen viele mit drohnen gekämpft wurden', 'demokratischer präsident der usa vor trump', 'hat bin laden erschießen lassen', 'präsident', 'ex-us-präsident', 'irak', 'bin laden', 'usa', 'ehemaiger präsident von usa', 'ex-us-präsident', 'usa'];[['politik', 'amerika', 'präsident'], ['führt kriege', 'beführworter von drohnen'], ['dass in den kriegen viele mit drohnen gekämpft wurden'], ['demokratischer präsident der usa vor trump', 'charismatisch', 'hat gesundheitsreform eingeführt'], ['hat bin laden erschießen lassen', 'schwarz', 'stolz'], ['präsident', 'schwarz', 'menschlich'], ['ex-us-präsident'], ['irak', 'afghanistan', 'krieg'], ['bin laden', 'musik', 'kultur'], ['usa', 'präsident', 'demokrat', 'weißes haus'], ['ehemaiger präsident von usa', 'die meisten drohnenangriffe auch an us-bürgern'], ['ex-us-präsident', 'einsatz unbemannter drohnen zur kriegsführung'], ['usa', 'präsident', 'terroristen']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
EM-Schweinsteiger;Bastian Schweinsteiger;['fußballer', 'schweini', 'fußball', 'mittelfeldspieler', 'war oft das gesicht der dbf-elf zur wm', 'sprint'];[3, 1, 1, 1, 1, 1];['fußballer', 'sieger', 'schweini', 'held', 'kämpfer', 'vorbild', 'fußball', 'europameisterschaft', 'tore', 'mittelfeldspieler', 'wm-titel', 'wm-dritter', 'tv-experte', 'funny frisch', 'war oft das gesicht der dbf-elf zur wm', 'sprint', 'ukraine', 'kapitän', 'sportlich'];[4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];19;[1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 0.0, 2.0];1;1;['30-39', '50-59', '20-29', '30-39', '30-39', '30-39', '40-49', '30-39'];50;['schweini', 'fußballer', 'fußball', 'mittelfeldspieler', 'fußballer', 'war oft das gesicht der dbf-elf zur wm', 'sprint', 'fußballer'];[['schweini', 'fußballer', 'held'], ['fußballer', 'kämpfer', 'vorbild'], ['fußball', 'europameisterschaft', 'tore'], ['mittelfeldspieler', 'wm-titel', 'wm-dritter', 'tv-experte'], ['fußballer', 'sieger', 'funny frisch'], ['war oft das gesicht der dbf-elf zur wm'], ['sprint', 'ukraine', 'kapitän'], ['fußballer', 'sieger', 'sportlich']];16;['30-39', '30-39', '20-29', '50-59', '30-39', '20-29', '30-39', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '40-49', '30-39', '60-69'];prolific
